Gmt time,Open,High,Low,Close,Volume
01.07.2022 00:00:00.000,1.04787,1.04787,1.04747,1.04751,104620002.7466
01.07.2022 00:01:00.000,1.04750,1.04753,1.04735,1.04741,57340000.1526
01.07.2022 00:02:00.000,1.04742,1.04767,1.04736,1.04757,134929992.6758
01.07.2022 00:03:00.000,1.04757,1.04764,1.04746,1.04752,30329999.9237
01.07.2022 00:04:00.000,1.04751,1.04765,1.04742,1.04765,46500000
01.07.2022 00:05:00.000,1.04764,1.04780,1.04760,1.04760,43250000
01.07.2022 00:06:00.000,1.04762,1.04764,1.04733,1.04743,42349998.4741
01.07.2022 00:07:00.000,1.04744,1.04752,1.04741,1.04741,39279998.7793
01.07.2022 00:08:00.000,1.04741,1.04744,1.04727,1.04731,60950000.7629
01.07.2022 00:09:00.000,1.04731,1.04731,1.04715,1.04720,50189998.6267
01.07.2022 00:10:00.000,1.04720,1.04727,1.04715,1.04717,40250000
01.07.2022 00:11:00.000,1.04716,1.04717,1.04710,1.04712,11460000.0381
01.07.2022 00:12:00.000,1.04713,1.04720,1.04708,1.04710,34509998.3215
01.07.2022 00:13:00.000,1.04710,1.04717,1.04707,1.04710,44729999.5422
01.07.2022 00:14:00.000,1.04711,1.04715,1.04700,1.04700,36029998.7793
01.07.2022 00:15:00.000,1.04704,1.04720,1.04704,1.04714,38419998.1689
01.07.2022 00:16:00.000,1.04712,1.04737,1.04710,1.04737,37810001.3733
01.07.2022 00:17:00.000,1.04735,1.04738,1.04706,1.04706,31049999.2371
01.07.2022 00:18:00.000,1.04706,1.04721,1.04706,1.04717,25780000.6866
01.07.2022 00:19:00.000,1.04718,1.04723,1.04714,1.04718,10189999.5804
01.07.2022 00:20:00.000,1.04722,1.04733,1.04718,1.04721,17520000.4578
01.07.2022 00:21:00.000,1.04721,1.04723,1.04715,1.04720,11250000
01.07.2022 00:22:00.000,1.04723,1.04726,1.04718,1.04726,12930000.3052
01.07.2022 00:23:00.000,1.04728,1.04736,1.04727,1.04735,10779999.733
01.07.2022 00:24:00.000,1.04736,1.04746,1.04729,1.04738,33740001.6785
01.07.2022 00:25:00.000,1.04737,1.04738,1.04722,1.04724,26120000.8392
01.07.2022 00:26:00.000,1.04722,1.04727,1.04715,1.04719,16950000.7629
01.07.2022 00:27:00.000,1.04719,1.04723,1.04717,1.04723,54909999.8474
01.07.2022 00:28:00.000,1.04722,1.04734,1.04722,1.04726,42009998.3215
01.07.2022 00:29:00.000,1.04726,1.04732,1.04719,1.04727,9430000.3052
01.07.2022 00:30:00.000,1.04728,1.04739,1.04724,1.04726,124209999.0845
01.07.2022 00:31:00.000,1.04729,1.04739,1.04729,1.04739,107889999.3896
01.07.2022 00:32:00.000,1.04737,1.04737,1.04703,1.04705,158050003.0518
