Gmt time,Open,High,Low,Close,Volume
01.07.2022 00:00:00.000,1.04783,1.04783,1.04741,1.04746,150779998.7793
01.07.2022 00:01:00.000,1.04746,1.04746,1.04729,1.04735,82019996.6431
01.07.2022 00:02:00.000,1.04736,1.04761,1.04732,1.04751,80400001.5259
01.07.2022 00:03:00.000,1.04752,1.04761,1.04740,1.04746,79599998.4741
01.07.2022 00:04:00.000,1.04745,1.04760,1.04737,1.04760,82550003.0518
01.07.2022 00:05:00.000,1.04759,1.04775,1.04754,1.04754,47729999.5422
01.07.2022 00:06:00.000,1.04757,1.04758,1.04729,1.04737,90370002.7466
01.07.2022 00:07:00.000,1.04739,1.04747,1.04735,1.04735,92160003.6621
01.07.2022 00:08:00.000,1.04736,1.04738,1.04724,1.04726,78029998.7793
01.07.2022 00:09:00.000,1.04725,1.04726,1.04709,1.04713,124709999.0845
01.07.2022 00:10:00.000,1.04714,1.04722,1.04711,1.04711,46680000.3052
01.07.2022 00:11:00.000,1.04711,1.04712,1.04705,1.04706,20610000.6104
01.07.2022 00:12:00.000,1.04710,1.04715,1.04704,1.04704,74430000.3052
01.07.2022 00:13:00.000,1.04705,1.04713,1.04703,1.04704,60459999.0845
01.07.2022 00:14:00.000,1.04704,1.04709,1.04697,1.04698,65629997.2534
01.07.2022 00:15:00.000,1.04699,1.04715,1.04698,1.04711,71690002.4414
01.07.2022 00:16:00.000,1.04710,1.04732,1.04706,1.04732,41689998.6267
01.07.2022 00:17:00.000,1.04732,1.04733,1.04703,1.04703,114819999.6948
01.07.2022 00:18:00.000,1.04700,1.04718,1.04700,1.04713,91019996.6431
01.07.2022 00:19:00.000,1.04713,1.04718,1.04709,1.04715,53840000.1526
01.07.2022 00:20:00.000,1.04717,1.04729,1.04715,1.04717,61099998.4741
01.07.2022 00:21:00.000,1.04716,1.04719,1.04711,1.04715,35299999.2371
01.07.2022 00:22:00.000,1.04719,1.04723,1.04712,1.04721,48119998.9319
01.07.2022 00:23:00.000,1.04724,1.04732,1.04723,1.04730,57479999.5422
01.07.2022 00:24:00.000,1.04730,1.04742,1.04724,1.04733,93860000.6104
01.07.2022 00:25:00.000,1.04732,1.04734,1.04717,1.04718,131389999.3896
01.07.2022 00:26:00.000,1.04719,1.04722,1.04711,1.04713,67839996.3379
01.07.2022 00:27:00.000,1.04712,1.04718,1.04712,1.04717,56459999.0845
01.07.2022 00:28:00.000,1.04719,1.04728,1.04718,1.04722,67269996.6431
01.07.2022 00:29:00.000,1.04721,1.04728,1.04714,1.04723,48790000.9155
01.07.2022 00:30:00.000,1.04723,1.04734,1.04720,1.04722,151649993.8965
01.07.2022 00:31:00.000,1.04723,1.04733,1.04723,1.04733,91110000.6104
01.07.2022 00:32:00.000,1.04732,1.04732,1.04699,1.04699,125720001.2207
01.07.2022 00:33:00.000,1.04697,1.04698,1.04685,1.04690,83169998.1689
01.07.2022 00:34:00.000,1.04693,1.04699,1.04690,1.04692,54759998.3215
01.07.2022 00:35:00.000,1.04692,1.04693,1.04686,1.04691,58680000.3052
01.07.2022 00:36:00.000,1.04688,1.04688,1.04671,1.04673,69430000.3052
01.07.2022 00:37:00.000,1.04674,1.04688,1.04671,1.04685,131860000.6104
01.07.2022 00:38:00.000,1.04687,1.04687,1.04674,1.04680,58630001.0681
01.07.2022 00:39:00.000,1.04681,1.04681,1.04665,1.04673,105040000.9155
01.07.2022 00:40:00.000,1.04673,1.04685,1.04672,1.04685,49000000
01.07.2022 00:41:00.000,1.04687,1.04695,1.04679,1.04687,93720001.2207
01.07.2022 00:42:00.000,1.04686,1.04686,1.04676,1.04682,63819999.6948
01.07.2022 00:43:00.000,1.04683,1.04688,1.04676,1.04677,124839996.3379
01.07.2022 00:44:00.000,1.04678,1.04691,1.04678,1.04682,73099998.4741
01.07.2022 00:45:00.000,1.04681,1.04688,1.04680,1.04687,146940002.4414
01.07.2022 00:46:00.000,1.04688,1.04699,1.04688,1.04696,111169998.1689
01.07.2022 00:47:00.000,1.04695,1.04712,1.04695,1.04712,76809997.5586
01.07.2022 00:48:00.000,1.04715,1.04735,1.04715,1.04734,89860000.6104
01.07.2022 00:49:00.000,1.04732,1.04732,1.04722,1.04726,94389999.3896
01.07.2022 00:50:00.000,1.04724,1.04731,1.04714,1.04723,85930000.3052
01.07.2022 00:51:00.000,1.04725,1.04728,1.04719,1.04728,101389999.3896
01.07.2022 00:52:00.000,1.04729,1.04735,1.04721,1.04726,106430000.3052
01.07.2022 00:53:00.000,1.04727,1.04736,1.04723,1.04736,61270000.4578
01.07.2022 00:54:00.000,1.04736,1.04745,1.04718,1.04724,207710006.7139
01.07.2022 00:55:00.000,1.04726,1.04759,1.04724,1.04754,104180000.3052
01.07.2022 00:56:00.000,1.04755,1.04761,1.04736,1.04736,80150001.5259
01.07.2022 00:57:00.000,1.04734,1.04738,1.04725,1.04725,87940002.4414
01.07.2022 00:58:00.000,1.04725,1.04731,1.04719,1.04723,151850006.1035
01.07.2022 00:59:00.000,1.04724,1.04727,1.04708,1.04713,34139999.3896
01.07.2022 01:00:00.000,1.04713,1.04735,1.04711,1.04732,362109985.3516
01.07.2022 01:01:00.000,1.04731,1.04732,1.04690,1.04696,269230010.9863
01.07.2022 01:02:00.000,1.04695,1.04699,1.04676,1.04692,231470001.2207
01.07.2022 01:03:00.000,1.04692,1.04692,1.04674,1.04682,115290000.9155
01.07.2022 01:04:00.000,1.04681,1.04688,1.04675,1.04683,67110000.6104
01.07.2022 01:05:00.000,1.04683,1.04690,1.04680,1.04688,59159999.8474
01.07.2022 01:06:00.000,1.04689,1.04693,1.04681,1.04693,86089996.3379
01.07.2022 01:07:00.000,1.04694,1.04714,1.04692,1.04712,196240005.4932
01.07.2022 01:08:00.000,1.04712,1.04715,1.04703,1.04707,169880004.8828
01.07.2022 01:09:00.000,1.04708,1.04708,1.04681,1.04688,191199996.9482
01.07.2022 01:10:00.000,1.04689,1.04706,1.04686,1.04704,162190002.4414
01.07.2022 01:11:00.000,1.04705,1.04707,1.04692,1.04692,148779998.7793
01.07.2022 01:12:00.000,1.04693,1.04698,1.04689,1.04697,96529998.7793
01.07.2022 01:13:00.000,1.04696,1.04705,1.04691,1.04701,51599998.4741
01.07.2022 01:14:00.000,1.04703,1.04704,1.04685,1.04685,117110000.6104
01.07.2022 01:15:00.000,1.04684,1.04695,1.04684,1.04690,56450000.7629
01.07.2022 01:16:00.000,1.04690,1.04717,1.04686,1.04712,74779998.7793
